ICAO,Name,City,Elevation,Longitude,Latitude
VI76,Band Tal,Band Tal,750,78.26113129,25.99994278
VI88,Jallowal Airport,,738,75.34105682,31.56067276
VI90,Akbarpur Airport,,299,82.57020569,26.44677544
VIAG,Agra AB,Agra,549,77.96116638,27.15794182
VIAH,Dhanipur Airstrip,Aligarh,599,78.14691925,27.86094856
VIAM,Ambala,Ambala,909,76.81370544,30.37236595
VIAR,Amritsar,Amritsar,758,74.79647827,31.71124649
VIAW,Awantipur,Awantipur,5394,74.97562408,33.87668228
VIAX,Adampur,Adampur,775,75.7579422,31.43339539
VIBK,Nal,Nal,750,73.20687866,28.0712719
VIBL,Bakshi Ka Talab,Bakshi Ka Talab,411,80.89279938,26.98868561
VIBR,Kullu Manali,Kullu Manali,3562,77.1543045,31.87672043
VIBT,Bhatinda,Bhatinda,662,74.75567627,30.27024269
VIBW,Bhiwani,Bhiwani,713,76.17893219,28.83713531
VIBY,Bareilly AB,Bareilly,565,79.45011902,28.42248917
VICG,Chandigarh AB,Chandigarh,1028,76.78925323,30.67327118
VIDD,Safdarjung,Delhi,701,77.20549011,28.58437538
VIDF,Pithorgarh,Pithorgarh,4935,80.23913574,29.59361458
VIDN,Dehradun,Dehradun,1803,78.18196106,30.19011879
VIDP,Indira Gandhi Intl,Delhi,741,77.09790802,28.55851936
VIDX,Hindon,Hindon,706,77.35890198,28.7077179
VIGG,Gaggal,Gaggal,2496,76.26303864,32.16488266
VIGR,Maharajpur AB,Gwalior,617,78.22787476,26.29497337
VIHR,Hissar,Hissar,685,75.7554245,29.17933655
VIHX,Halwara,Halwara,790,75.62976074,30.74850845
VIJN,Jhansi,Jhansi,787,78.55962372,25.48984718
VIJO,Jodhpur AB,Jodhpur,703,73.04792786,26.25107765
VIJP,Jaipur,Jaipur,1258,75.81632996,26.82461166
VIJR,Jaisalmer,Jaisalmer,759,70.8644104,26.88943672
VIJU,Jammu,Jammu,958,74.8381958,32.68912125
VIKA,Kanpur,Kanpur,416,80.36390686,26.44109344
VIKG,Kishangarh Airport,Kishangarh,1474,74.81329346,26.59127998
VIKL,Kargil,Kargil,9573,76.15565491,34.52430725
VIKO,Kota,Kota,892,75.84536743,25.16055679
VILD,Ludhiana,Ludhiana,833,75.95259857,30.854496
VILH,Leh,Leh,10697,77.54708099,34.13627243
VILK,Lucknow,Lucknow,403,80.88891602,26.7605381
VILP,Lalitpur Airport,Lalitpur,1204,78.41642761,24.71716309
VIPK,Pathankot AB,Pathankot,1018,75.63456726,32.23365402
VIPL,Patiala,Patiala,825,76.36333466,30.31518745
VIPT,Nainital,Pantnagar,770,79.47246552,29.03344917
VIPX,Phalodi Airport,Phalodi,0,72.20970917,27.10520363
VIRB,Fursatganj,Fursatganj,374,81.38050079,26.24853134
VISG,Suratgarh New,Suratgarh New,562,73.90414429,29.38776398
VISM,Shimla,Shimla,5059,77.06756592,31.08219337
VISP,Sarsawa,Sarsawa,891,77.42468262,29.99430466
VISR,Srinagar AB,Srinagar,5453,74.77381897,33.98714447
VIST,Satna,Satna,1056,80.85282135,24.56264114
VISX,Sirsa,Sirsa,652,75.00627899,29.56056213
VIT,Santa Victoria,Santa Victoria,858,-62.71369934,-22.2857132
VITE,Thoise,Thoise,10061,77.37571716,34.65252686
VIUT,Uttarlai,Uttarlai,503,71.48229218,25.81294441
VIUX,Udhampur,Udhampur,2066,75.15563202,32.90216064
VIV,Vivigani,Vivigani,114,150.3190155,-9.303491592
VJQ,Gurue Airport,Mutuali,2238,36.98984909,-15.50594902
VLHS,Ban Houeisay,Ban Houeisay,1380,100.4373398,20.25788689
VLLB,Luang Phabang,Luang Phabang,972,102.167778,19.90507126
VLLN,Luang Namtha,Luang Namtha,1804,101.4026413,20.96089745
VLOS,Oudomsay,Oudomsay,0,101.9933929,20.68226814
VLPS,Pakse,Pakse,344,105.7795868,15.13477516
VLPV,Phonesavanh,Phonesavanh,3676,103.2183609,19.45490456
VLSB,Sayaboury,Sayaboury,944,101.709343,19.24334526
VLSK,Savannakhet,Savannakhet,506,104.7595367,16.55660248
VLSN,Sam Neua Airport,Xam Nua,3281,104.0661926,20.41833115
VLSV,Saravane,Saravane,599,106.4115143,15.70926189
VLTK,Thakhek Airport,Thakhek,510,104.8580399,17.3778801
VLVT,Wattay Intl,Vientiane,563,102.5632477,17.98833084
VLVV,Vang Vieng,Vang Vieng,800,102.4505539,18.92496681
VLXK,Xieng Khouang,Xieng Khouang,3592,103.1568069,19.44807243
VLXL,Xienglom Airport,Thung Chang,1824,100.8147202,19.62025833
VMMC,Macao Intl,Macao,20,113.5914154,22.14940071
VNAC,Kamal Bazar Airport,Achham,6396,81.34265137,29.05306435
VNBG,Bajhang,Bajhang,3991,81.18341064,29.53831863
VNBJ,Bhojpur,Bhojpur,3962,87.05116272,27.14718628
VNBL,Baglung,Baglung,3252,83.66612244,28.21350479
VNBP,Bharatpur,Bharatpur,689,84.42832184,27.67698288
VNBR,Bajura,Bajura,4606,81.66835022,29.5028019
VNBT,Baitadi,Baitadi,4199,80.54905701,29.46357346
VNBW,Bhairahawa,Bhairahawa,344,83.41622925,27.50566864
VNCG,Chandragadhi,Chandragadhi,310,88.07892609,26.57080078
VNCJ,Chaurijhari,Chaurijhari,2431,82.19422913,28.62734222
VNDG,Dang,Dang,2080,82.29439545,28.11120796
VNDH,Dhangadhi,Dhangadhi,618,80.58341217,28.75525856
VNDL,Darchula,Darchula,2228,80.54814148,29.66859245
VNDP,Dolpa,Dolpa,8212,82.81855011,28.98596954
VNDR,Dhorpatan Airport,Pyuthan,9392,83.05154419,28.49198723
VNDT,Doti,Doti,1881,80.9360733,29.26207924
VNGK,Gorkha,Gorkha,1475,84.46616364,28.03828239
VNIL,Ilam Airport,Ilam,2734,87.90570831,26.8774929
VNJI,Jiri Airport,Ramechhap,6082,86.2306366,27.62603188
VNJL,Jumla,Jumla,7792,82.19337463,29.27445412
VNJP,Janakpur,Janakpur,246,85.92184448,26.70882034
VNJS,Jomsom,Jomsom,8997,83.72301483,28.78037643
VNJU,Thalchi Airport,Jumla,8944,82.14667511,29.5211792
VNKD,Bhojpur Airport,Bhojpur,4435,86.77225494,27.18126869
VNKL,Kangel Danda Airport,Namche Bazar,6869,86.64661407,27.4105587
VNKT,Tribhuvan Intl,Kathmandu,4358,85.35918427,27.69660759
VNLD,Lamidada,Lamidada,4035,86.67247772,27.25266266
VNLK,Lukla,Lukla,9337,86.72955322,27.68684006
VNLT,Langtang Airport,Chongdui,12561,85.58541107,28.19966125
VNMA,Manang Airport,Nawal,11131,84.08686066,28.64156532
VNMG,Meghauli,Meghauli,509,84.22907257,27.5774498
VNMN,Mahendranagar,Mahendranagar,715,80.14659119,28.96069908
VNNG,Nepalgunj,Nepalgunj,516,81.66699219,28.10360527
VNO,Venado Tuerto,Venado Tuerto,374,-61.9551239,-33.67975235
VNPK,Pokhara,Pokhara,2682,83.98155212,28.20098305
VNPL,Phaplu Airport,Namche Bazar,8097,86.5851059,27.51791763
VNRB,Rajbiraj,Rajbiraj,258,86.7374649,26.50872803
VNRC,Ramechhap,Ramechhap,1620,86.05971527,27.39332008
VNRP,Rolpa Airport,Pyuthan,4199,82.75640869,28.26726341
VNRT,Rumjatar,Rumjatar,4498,86.55105591,27.30260849
VNSA,Salyan Airport,Salyan,5127,82.45007324,28.63632202
VNSB,Syangboche Airport,Namche Bazar,12322,86.71195984,27.81159592
VNSI,Simara,Simara,433,84.98002625,27.15992355
VNSK,Surkhet,Surkhet,2248,81.63555145,28.58477974
VNSR,Sanfebagar,Sanfebagar,1959,81.21548462,29.23704529
VNST,Simikot,Simikot,9751,81.81911469,29.97049713
VNTH,Thamkharka Airport,Bhojpur,5231,86.85791016,27.04809952
VNTJ,Taplejung Airport,Khandbari,7936,87.69715881,27.35143661
VNTR,Tumlingtar,Tumlingtar,1316,87.19432831,27.31500053
VNVT,Biratnagar,Biratnagar,246,87.26370239,26.48220444
VO17,Bellary,Bellary,1543,76.88153076,15.16176701
VO26,Kovilpatti,Kovilpatti,420,77.82112885,9.153606415
VO52,Harihar,Harihar,1768,75.78744507,14.53482533
VO55,Murod Kond,Murod Kond,2153,76.46440125,18.41197014
VO94,Campbell Bay Airport,,32,93.92279816,7.012882233
VO95,Hosur Airport,,3020,77.77062225,12.66217709
VOAR,Arkonam,Arkonam,266,79.69084167,13.07107258
VOBG,Bangalore,Bangalore,2883,77.66915131,12.95010281
VOBL,Kempegowda Intl,,2964,77.7044754,13.20702171
VOBM,Belgaum,Belgaum,2459,74.61606598,15.85879517
VOBR,Bidar,Bidar,2187,77.47936249,17.90446472
